b,2783,1.54,u,g,w,v,3.75,t,t,5,t,g,1e-05,3,+
b,3317,1.04,u,g,r,h,6.5,t,f,0,t,g,1.64e-05,31285,+
a,2292,11.585,u,g,cc,v,0.04,t,f,0,f,g,8e-06,1349,+
b,5442,0.5,y,p,k,h,3.96,t,f,0,f,g,1.8e-05,314,+
b,4250,4.915,y,p,w,v,3.165,t,f,0,t,g,5.2e-06,1442,+
b,2208,0.83,u,g,c,h,2.165,f,f,0,t,g,1.28e-05,0,+
b,4808,6.04,u,g,k,v,0.04,f,f,0,f,g,0.0,2690,+
a,4583,10.5,u,g,q,v,5.0,t,t,7,t,g,0.0,0,+
b,3667,4.415,y,p,k,v,0.25,t,t,10,t,g,3.2e-05,0,+
b,2500,11.25,u,g,c,v,2.5,t,t,17,f,g,2e-05,1208,+
a,2742,14.5,u,g,x,h,3.085,t,t,1,f,g,1.2e-05,11,+
a,1583,0.585,u,g,c,h,1.5,t,t,2,f,g,1e-05,0,+
a,4700,13.0,u,g,i,bb,5.165,t,t,9,t,g,0.0,0,+
b,4208,1.04,u,g,w,v,5.0,t,t,6,t,g,5e-05,10000,+
b,4200,9.79,u,g,x,h,7.96,t,t,8,f,g,0.0,0,+
b,4950,7.585,u,g,i,bb,7.585,t,t,15,t,g,0.0,5000,+
b,2725,1.585,u,g,cc,h,1.835,t,t,12,t,g,5.83e-05,713,+
b,2775,0.585,y,p,cc,v,0.25,t,t,2,f,g,2.6e-05,500,+
b,5458,9.415,u,g,ff,ff,14.415,t,t,11,t,g,3e-06,300,+
b,5433,6.75,u,g,c,h,2.625,t,t,11,t,g,0.0,284,+
b,3192,4.46,u,g,cc,h,6.04,t,t,3,f,g,3.11e-05,300,+
b,4150,1.54,u,g,i,bb,3.5,f,f,0,f,g,2.16e-05,0,+
b,2392,0.665,u,g,c,v,0.165,f,f,0,f,g,1e-05,0,+
b,2600,1.0,u,g,q,v,1.75,t,f,0,t,g,2.8e-05,0,+
b,3492,2.5,u,g,w,v,0.0,t,f,0,t,g,2.39e-05,200,+
b,3425,3.0,u,g,cc,h,7.415,t,f,0,t,g,0.0,0,+
b,2333,11.625,y,p,w,v,0.835,t,f,0,t,g,1.6e-05,300,+
b,2317,0.0,u,g,cc,v,0.085,t,f,0,f,g,0.0,0,+
b,4433,0.5,u,g,i,h,5.0,t,f,0,t,g,3.2e-05,0,+
b,5675,12.25,u,g,m,v,1.25,t,t,4,t,g,2e-05,0,+
b,3167,16.165,u,g,d,v,3.0,t,t,9,f,g,2.5e-05,730,+
b,3417,1.54,u,g,cc,v,1.54,t,t,1,t,g,5.2e-05,50000,+
a,3600,1.0,u,g,c,v,2.0,t,t,11,f,g,0.0,456,+
b,2550,0.375,u,g,m,v,0.25,t,t,3,f,g,2.6e-05,15108,+
b,1942,6.5,u,g,w,h,1.46,t,t,7,f,g,8e-06,2954,+
b,3233,7.5,u,g,e,bb,1.585,t,f,0,t,s,4.2e-05,0,-
b,4483,7.0,y,p,c,v,1.625,f,f,0,f,g,1.6e-05,2,-
b,2067,5.29,u,g,q,v,0.375,t,t,1,f,g,1.6e-05,0,-
b,3408,6.5,u,g,aa,v,0.125,t,f,0,t,g,4.43e-05,0,-
b,2150,9.75,u,g,c,v,0.25,t,f,0,f,g,1.4e-05,0,-
a,2767,1.5,u,g,m,v,2.0,t,f,0,f,s,3.68e-05,0,-
a,?,3.5,u,g,d,v,3.0,t,f,0,t,g,3e-05,0,-
b,2725,0.625,u,g,aa,v,0.455,t,f,0,t,g,2e-05,0,-
b,?,0.375,u,g,d,v,0.875,t,f,0,t,s,9.28e-05,0,-
b,2567,2.21,y,p,aa,v,4.0,t,f,0,f,g,1.88e-05,0,-
b,3400,4.5,u,g,aa,v,1.0,t,f,0,t,g,2.4e-05,0,-
a,4900,1.5,u,g,j,j,0.0,t,f,0,t,g,1e-05,27,-
b,6250,12.75,y,p,c,h,5.0,t,f,0,f,g,1.12e-05,0,-
b,5233,1.375,y,p,c,h,9.46,t,f,0,t,g,2e-05,100,-
b,2875,1.5,y,p,c,v,1.5,t,f,0,t,g,0.0,225,-
a,2250,11.0,y,p,q,v,3.0,t,f,0,t,g,2.68e-05,0,-
a,2850,1.0,u,g,q,v,1.0,t,t,2,t,g,1.67e-05,500,-
b,3750,1.75,y,p,c,bb,0.25,t,f,0,t,g,1.64e-05,400,-
b,1867,5.0,u,g,q,v,0.375,t,t,2,f,g,0.0,38,-
b,5483,15.5,u,g,e,z,0.0,t,t,20,f,g,1.52e-05,130,-
b,4092,2.25,y,p,x,h,10.0,t,f,0,t,g,1.76e-05,0,-
b,2458,12.5,u,g,w,v,0.875,t,f,0,t,g,2.6e-05,0,-
b,2067,1.25,y,p,c,h,1.375,t,t,3,t,g,1.4e-05,210,-
a,2075,10.335,u,g,cc,h,0.335,t,t,1,t,g,8e-06,50,+
b,3992,6.21,u,g,q,v,0.04,t,t,1,f,g,2e-05,300,+
a,4417,6.665,u,g,q,v,7.375,t,t,3,t,g,0.0,0,+
b,3492,5.0,u,g,x,h,7.5,t,t,6,t,g,0.0,1000,+
b,2275,11.0,u,g,q,v,2.5,t,t,7,t,g,1e-05,809,+
a,2842,3.5,u,g,w,v,0.835,t,f,0,f,s,2.8e-05,0,+
b,6775,5.5,u,g,e,z,13.0,t,t,1,t,g,0.0,0,+
